"","Document.ID","Tone","has_substantive_tone","Tone_justify","Tone_quote","Commenter_Role","Specialty","Patient_cost","Patient_quality","Provider_pay","Provider_pay_decrease","Provider_quality","Provider_logistics","Other","Justification","Quote","word_count","Concern_Level","State/Province","Role_category"
"19","FTC-2024-0022-0541","negative","1","""negative_word,imperative""","""I'm horrified by the entwinement of private equity with the health care industry and its implications especially for emergencyroom care.""",NA,NA,"0","1","0",NA,"1","0","""need government regulation""",""" commenter point out the concern about the detriment of healthcare quality for patient and working situation for provider.""","""The transfer of responsibility to contractors who may not have proper training or support is concerning not just for patients but for workers.""",66,"Medium",NA,NA
"20","FTC-2024-0022-0561","very_negative","1","""imperative,strong_word,high_frequency""","""I strongly urge you to implement strict regulations that would limit the ability of private equity firms to acquire and operate emergencyrooms"","" glad to hear that problems presented by consolidation are being recognized and addressed""",NA,NA,"1","1","0",NA,"1","0","""need government regulation""","""the cost is higher, the quality is lower, and the risk is higher""","""Private equity firm prioritize profits over patient care and worker safety.  The costs are higher, the quality of service is lower, and the risks for patients as well as workers are increased.""",70,"High","GA",NA
"21","FTC-2024-0022-0562","neutral","1","""fact_based""","""Privatizing ER service may save money for hospitals but it could deteriorate patient care,which is the pointof their existence""",NA,NA,"0","1","0",NA,"0","0",NA,"""one side of PE is reducing the care quality for patient""","""Privatizing ER service may save money for hospitals but it could deteriorate patient care,which is the pointof their existence""",19,"Low","NJ",NA
"22","FTC-2024-0022-0625","negative","1","""imperative,negative_word""","""Stop the equity action and corporate makeover of health care""","nurse","register","0","1","0",NA,"1","0","""need government regulation""","""prioritizing profit forces provider working under high pressure and risk, thereby reduce the care quality for patient""","""The cuts are always at the expense of staff, primarily, and the patients, secondarily. I‚Äö√Ñ√¥ve witnessed physicians become depressed at how little time they now have for histories, careful exams and emotional support because they are on a 15 minute timer. "",""The entry of equity funds into healthcare is ruining quality care in hospitals, EDs, clinics and other venues. """,126,"Medium","NY","provider"
"23","FTC-2024-0022-0637","very_negative","1","""negative_word,strong_word,implicature,high_frequency""","""I urge you to consider implementing policies that would limit or restrict the ability of private equity firms to acquire and operate emergencyrooms. """,NA,NA,"1","1","0",NA,"1","0","""need government regulation""",""" commenter claim concern on low healthcare quality, higher cost for patient, and higher risk for provider""","""Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers. """,167,"High","CO",NA
"24","FTC-2024-0022-0640","very_negative","1","""negative_word,strong_word,implicature,high_frequency""","""I urge you to consider implementing policies that would limit or restrict the ability of private equity firms to acquire and operate emergencyrooms. """,NA,NA,"1","1","0",NA,"1","0","""need government regulation""","""PE prioritize profits over worker safety and patient care implies the low quality of healthcare and high risk working environment for provider, commenter also point out the high cost""",""" Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers. """,1805,"High",NA,NA
"25","FTC-2024-0022-0650","negative","1","""negative_word,punctuation,strong_word,implicature""",""" I urge you "",""The billing has been extremely unfair and frustrating.""","patient",NA,"1","1","1","1","1","0","""need government regulation""","""second quate sentence provide full evidence""","""The billing has been extremely unfair and frustrating."",""Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers.""",219,"Highest","UT","patient"
"26","FTC-2024-0022-0672","very_negative","1","""negative_word,strong_word,capitalization""","""Indeed, they don't belong in health care."","" PLEASE STOP the private equity takeover of emergencyRooms so we can trust our emergencyhealth care services.""","patient",NA,"0","1","0",NA,"1","0",NA,"""both patient and provider suffer from it""","""The system is being driven by the wrong values. This affects health care providers as well as patients, and it is decimating our health care system. """,104,"Medium","WV","patient"
"27","FTC-2024-0022-0694","very_negative","1","""negative_word,strong_word,implicature,high_frequency""","""It's encouraging to see the government recognize the problems presented by mergers in health care industries, particularly those involving emergencyrooms."",""I urge you to consider implementing policies that would limit or restrict the ability of private equity firms to acquire and operate emergencyrooms. ""","patient",NA,"1","1","0",NA,"1","0","""need government regulation""","""Prioritizing the profit bring detriment healthcare quality for patient, cost of healthcare, and working environment of provider""","""Private equity firms tend to prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers""",1199,"High","CA","patient"
"28","FTC-2024-0022-0700","very_negative","0","""negative_word,strong_word,punctuation,high_frequency""","""Accountants have no business pricing people to death literally.  Who are the CEOS running these hospitals? Who is acting on the behalf of the ill?""",NA,NA,"0","0","0",NA,"0","0",NA,"""It doesn't articulate the specific harmful effects; it merely expresses anger.""","""Accountants have no business pricing people to death literally.  Who are the CEOS running these hospitals? Who is acting on the behalf of the ill?""",25,"No Concern",NA,NA
"29","FTC-2024-0022-0727","very_negative","1","""negative_word,strong_word,implicature,high_frequency""","""I urge you "",""I am glad to see"",""represents a grave threat to our already strained, dysfunctional and overly privatized health care sector.""",NA,NA,"1","1","0",NA,"1","0","""need government regulation""","""concerns including patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers.""","""Private equity firms prioritize profits and shareholder distributions over all other concerns including patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers.""",130,"High","NC",NA
"30","FTC-2024-0022-0731","very_negative","1","""negative_word,strong_word,high_frequency""","""wait time are alreadyt horredous and billing sky high""","patient",NA,"1","1","0",NA,"0","0",NA,"""long wait time emphasize low quality for patient, billing sky high emphasizes high patient cost""",""" Wait times are already horrendous and billing sky high."",""I have had friends and family wait in excess of 8 hours with medical emergencies, this is unacceptable and will only get worse.""",44,"Medium","OR","patient"
"31","FTC-2024-0022-0787","negative","1","""negative_word""",""" It breaks my heart"",""only given 1 bed bath and that only after multiple complaints""","nurse","register","0","1","1","1","1","1",NA,"""patient do Not receiving adequate treatment and Care"",""provider do not receive enough salaries"".""As a provider, she spend most of time writing prior authorizations rather than taking care of patient""","""hould have been treated"",""I was only given 1 bed bath and that only after multiple complaints"",""As a nurse I ended up spending a majority of my time writing prior authorizations and then appeals for denied""",583,"High","IL","provider"
"32","FTC-2024-0022-0826","very_negative","1","""negative_word,strong_word,imperative,high_frequency""","""I am glad to see the government recognize the problems"",""I urge you """,NA,NA,"1","1","0",NA,"1","0","""need government regulation""","""Prioritizing the profit bring detriment healthcare quality for patient, cost of healthcare, and working environment of provider""","""Their profiteering means that services are less available, more expensive, and poorly provided.""",1401,"High","VT",NA
"33","FTC-2024-0022-0865","very_negative","1","""negative_word,strong_word,high_frequency""","""It is beyond frustrating"",""I urge you ""","caregiver",NA,"0","1","0",NA,"0","0",NA,"""only point out disadvantage for patient's health care quality""","""Longer wait times followed by quick visits from the physician feeling unheard and pushed through"",",118,"Low",NA,"other"
"34","FTC-2024-0022-0873","negative","1","""negative_word""",""" As an emergencyMedicine Physician I am increasingly worried about the regulatory capture and commodification of healthcare in these United States. ""","physician","emergency","0","1","0",NA,"1","0","""need government regulation""",""" ccolleagues left the field implies the bad working situation for provider. Patient do not have enough choices implies the low quality healthcare""","""he situation is so stark now that approximately 10% of my colleagues have completely left the field this past year, exacerbating an already dire physician shortage"",""The simple fact is that when a patient is having an emergency, they do not have the luxury of choosing where to receive their care and traditional market economics are not at play. """,178,"Medium",NA,"provider"
"35","FTC-2024-0022-0898","negative","1","""negative_word,high_frequency""","""It's bad for doctors and it's bad for patients""",NA,NA,"0","1","0",NA,"1","0",NA,"""PE is bad for patient and provider's quality""","""It's bad for doctors and it's bad for patients to have private equity buying practices and hospitals.""",105,"Medium",NA,NA
"36","FTC-2024-0022-0951","very_negative","1","""negative_word,strong_word,punctuation,implicature,high_frequency""","""is WRONG and destructive to quality of care."",""PLEASE DO NOT LET OUT OF CONTROL GREED DESTROY MEDICAL CARE IN THIS COUNTRY!!"",""Medicine should focus on CARE, not SHAREHOLDER OR OWNER PROFIT MAKING!!!""","psychotherapist","emergency","1","1","0",NA,"1","0","""need government regulation""","""Prioritizing the profit bring detriment healthcare quality for patient, cost of healthcare, and working environment of provider""","""Private equity firms prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers. """,294,"High","NY","provider"
"37","FTC-2024-0022-0958","negative","1","""negative_word,high_frequency""","""As an insured, the corporate greed I have seen and dealt with my own health insurance policy has reached a level of insanity.""","patient",NA,"1","0","0",NA,"1","1",NA,"""high insurance cost emphasize the high patient cost, pyhsicians are fighting emphaszies the low provider working quality""","""This is while health insurance companies are raising premiums, deductibles, co-pays, out of pocket maxes and deductibles while earning the most in profits in history in the billions.  """,163,"Medium",NA,"patient"
"38","FTC-2024-0022-0992","negative","1","""negative_word""","""There should be limits on how much, or how big any one group can become as one group should not be allowed to corner or control a market.""",NA,NA,"1","1","0",NA,"0","0",NA,"""In the comments, the only information available is that the quality of healthcare has declined and price became larger‚Äú","""Consolidation in medicine will lead to higher expenses and less ideal care.""",6297,"Medium",NA,NA
"39","FTC-2024-0022-1008","very_negative","1","""negative_word,capitalization,high_frequency""","""I am appalled that in the past few years, the wait time and delay in getting treatment and diagnosis has quadrupled from previous decades. "",""It alarms me that for profit corporate financial firms who focus on cold hard cash are taking over people-oriented caring organizations.""","patient",NA,"0","1","0",NA,"0","0",NA,"""Commenter, as a patient, only emphasize the incovinence for patient.""","""I am appalled that in the past few years, the wait time and delay in getting treatment and diagnosis has quadrupled from previous decades. """,131,"Low","IL","patient"
"40","FTC-2024-0022-1010","very_negative","1","""negative_word""","""these corporations are causing a great deal of harm to patients as well as to the practicing physicians""","physician","emergency","1","1","1","1","1","0",NA,"""PE focus more on the profit so lose the weight on provide higher quality medical care and reduce the wage of advanced practive provider""","""This leads to patients being billed more and also drives up the cost of healthcare‚Äù,‚Äú these private equity backed firms will underpay their physicians and advance practice providers ‚Äù,‚Äú we often do not feel like we have time to tailor our diagnostic approach to each individual""",532,"Highest",NA,"provider"
"41","FTC-2024-0022-1033","negative","1","""negative_word""","""pushed to cut corners at the expense of patient care"",""no real doctor-patient relationship"", ""profit must not take priority""",NA,NA,"0","1","1","1","1","0",NA,"""the profit is came from decreasing the quality to patient and provider ""","""This enormous amount of profit comes from dying patients who are not receiving adequate healthcare as well as healthcare staff who are pushed to cut corners at the expense of patient care. "","" Their dominance over the healthcare market allows them to control: (1) how much healthcare staff are (under)paid essentially through price fixing; (2) how healthcare staff do their job - there is no real doctor-patient relationship if PE could deny a doctor hospital privilege if the doctor's effort to provide the best patient care does not support PE's profit seeking effort"",""If the doctor refuses to admit because the patient cannot be properly treated at the hospital, the hospital administration contacts the PE staffing agency and the doctor is threatened with losing employment as well as being reported to the national quality database"",""When in doubt, protect the most vulnerable - the patients instead of entities with high paying lobbyist.""",380,"High",NA,NA
"42","FTC-2024-0022-1041","very_negative","1","""negative_word,punctuation,capitalization,high_frequency""","""l sick to death, worse and worse,destroyed it!,astronomically,NEVER BE IN THE HANDS OF CORPORATIONS AND ESPECIALLY NOT HIDDEN""","nurse",NA,"1","1","0",NA,"1","0",NA,"""nurse are sick to death, detriment of sick people, higher price""","""they have driven prices up astronomically, and our healthcare just gets worse because their only concern is making their secret PE groups as much money as they can to the very detriment of the sick people we are trying to help!"",""All I can speak for are nurses, but we are all sick to death over what PE and the insurance industry has done to healthcare""",180,"High","SC","provider"
"43","FTC-2024-0022-1065","very_negative","1","""negative_word,strong_word""","""private equity must be banned from ownership of all hospitals and all healthcare facilities in the united states. "",""They must be banned from owning physician practices, nursing practices, Nurse practitioner and physician associate practices or hiring agencies. "","" All traces of ""cost cutting corporate effectiveness"" must be outlawed from healthcare.""","provider",NA,"0","0","0",NA,"1","0","""need government regulation""","""The viewpoint expressed implies a lack of exactly what is being advocated for in the current situation.""",""" They must be banned from owning physician practices, nursing practices, Nurse practitioner and physician associate practices or hiring agencies. "",""Additionally regulations requiring physician majority ownership/board positions would help advance patient first policies in the united states as well as work towards combatting many of the health disparities we currently see in the united states.""",84,"Low","SC","provider"
"44","FTC-2024-0022-1073","negative","1","""negative_word,capitalization""","""The involvement of private equity in the acquisition and operation of  healthcare facilities should be banned outright, and they should be given no quarter for involvement in the industry. ""","nurse","register","0","1","0",NA,"1","1",NA,"""the care quality for patients has been reduced. And the Increased numbers of patients make stuff injury""","""I watched the quality of care for patients deteriorate, and the hospital focus shift from safe patient care, to rushed and questionable admissions. "",""Patient ratios went up, and so did staff injury""",252,"Medium","CO","provider"
"45","FTC-2024-0022-1087","negative","1","""negative_word""","""Through this testimony, I aim to illuminate the multifaceted consequences of corporate control and consolidation practices while urging policymakers to prioritize patient interests and provide regulation to correct these detrimental trends. ""","physician",NA,"1","1","1","1","1","1","""need government regulation""","""The viewpoint expressed implies a lack of exactly what is being advocated for in the current situation.""","""higher risk conditions or even allowing medical conditions to worsen in order to inflate risk scores and maximize shared savings"",""As corporate medicine dominates the industry and independent practice becomes untenable, physicians often have no choice but to join these organizations and ‚Äúfall in line‚Äù to achieve a reasonable livelihood. """,3,"Highest","CT","provider"
"46","FTC-2024-0022-1115","very_negative","0","""negative_word,strong_word,capitalization,punctuation""","""greedy "",""STOPPED!!""",NA,NA,"0","0","0",NA,"0","0",NA,"""do not claim how it effect the cost, quality, provider salaries, and provider's working environment""","""The takeover of Healthcare systems by greedy Private Equity needs to be STOPPED!!""",13,"No Concern","NC",NA
"47","FTC-2024-0022-1175","negative","1","""negative_word""","""Please look into the attempt to  monopolize imaging services by disallowing newer facilities from opening """,NA,NA,"1","1","0",NA,"0","0",NA,"""higher price and lower choices for patient""","""This is apparently highly regulated in state of NC leading to higher prices and fewer choices for consumers""",33,"Medium","NC",NA
"48","FTC-2024-0022-1213","very_negative","1","""negative_word,high_frequency,punctuation""","""Unthinkable,nefarious monopoly!""","physician",NA,"0","0","0",NA,"1","1",NA,"""doctors that they already stranglehold emphasize the low provider quality""","""employing the doctors that they already stranglehold with insurance denials. This is the definition of a nefarious monopoly!""",32,"Low","NY","provider"
"49","FTC-2024-0022-1229","negative","1","""negative_word""",""" No one wants to be forced by need to accept whatever one entity deems is acceptable healthcare for everyone. """,NA,NA,"1","1","0",NA,"0","0",NA,"""patient with low income lose the access for care reflect the higher cost the lower care quality""","""These closures have caused limited access to healthcare in many lower income areas. "",""People deserve a choice in healthcare. No one wants to be forced by need to accept whatever one entity deems is acceptable healthcare for everyone. """,122,"Medium","PA",NA
"50","FTC-2024-0022-1232","negative","1","""negative_word""","""I did not receive quality care in any way I was prescribed medications"","" I wasn't given any suggestions for a plan""","patient",NA,"0","1","0",NA,"0","0",NA,"""The commenter primarily illustrates low-quality healthcare for patients by sharing their personal experiences and those of their colleagues or friends.""","""that shouldn't have been prescribed together I got an alert from medline also was prescribed something that I'm allergic to and had relayed that to the intake ,charge nurse and the doctor also upon my release for heart failure I wasn't given any suggestions for a plan and whenever I ask about getting some help to quit smoking was told by the Dr not to worry about that I'm still searching for care to help me through this""",176,"Low",NA,"patient"
"51","FTC-2024-0022-1269","very_negative","1","""negative_word,high_frequency""","""We cannot apply traditional business metrics/models to healthcare and it should not be for profit bc that is an impossible quest given the complex nature of healthcare and advancing science""",NA,NA,"0","1","0",NA,"0","0",NA,"""The business model appears to conflict with medical advancement, suggesting a compromise in healthcare quality.""","""We cannot apply traditional business metrics/models to healthcare and it should not be for profit bc that is an impossible quest given the complex nature of healthcare and advancing science""",30,"Low","WI",NA
"52","FTC-2024-0022-1278","negative","1","""negative_word,punctuation""","""Ask yourself what their next move will be?"",""They should not be involved in healthcare.""","physician","anesthesiologist","1","1","0",NA,"1","0",NA,""" the quote sentences point out the high healthcare cost and low healthcare quality for patient and bad work environment for provider""","""now they are shipping temporary anesthesiologists from outside communities and states to do the work at a premium. These people have zero investment in our community.  "",""Private equity firms attempt to expand in a region in order to gain an effective monopoly that allows them to massively increase prices."","" I am convinced that they care about nothing but money."",""  I am convinced that they have no concerns regarding patient welfare or care other than the potential public-relations or governmental blowback that they could face given unfavorable outcomes. """,442,"High",NA,"provider"
"53","FTC-2024-0022-1307","very_negative","1","""negative_word,strong_word,punctuation,high_frequency""","""destroying"",""threaten"",""even false""",NA,NA,"1","1","0",NA,"1","1",NA,"""Prioritizing the profit bring detriment healthcare quality for patient, cost of healthcare, and working environment of provider""","""They overcharge the patients and understaff their departments in order to maximize profits for shareholders. This leads to critical delays in diagnosis which has definitely led to many adverse patient outcomes, including death. End the private equity takeover of medicine now!"",""Furthermore, these firms threaten doctors with termination and even false reporting to licensing boards and disciplinary committees in order to coerce them into promoting profitable but unnecessary and/or ineffective procedures. """,87,"High","FL",NA
"54","FTC-2024-0022-1311","very_negative","0","""negative_word,strong_word""","""Private equity has no business to be involved in the Medical Professions""",NA,NA,"0","0","0",NA,"0","0",NA,"""It doesn't articulate the specific harmful effects; it merely expresses anger.""","""Private equity has no business to be involved in the Medical Professions""",12,"No Concern","KS",NA
"55","FTC-2024-0022-1320","negative","1","""negative_word""","""malignancy,hostile,Unfortunately""",NA,NA,"1","1","0",NA,"0","0",NA,"""detriment of patients safety and quality of healthcare""","""PE firms perform hostile takeovers of established, well run, companies and make changes that maximize profits. Unfortunately those changes are at the detriment of patients safety and quality of healthcare delivery. """,75,"Medium","MD",NA
"56","FTC-2024-0022-1390","negative","1","""negative_word""","""in a negative way""",NA,NA,"1","0","0",NA,"1","0",NA,"""Prioritizing the profit bring detriment working environment for provider and increase the cost of healthcare""",""" The adverse effects of consolidation of medical practices into large financially driven groups are subtle at first but will quickly evolve into a system which will attract money-hungry physicians and discourage those with altruistic motivations. It will also raise costs and shift benefits from those who provide care to impersonal bureaucratic machines.""",133,"Medium","CT",NA
"57","FTC-2024-0022-1392","very_negative","1","""negative_word,strong_word,high_frequency""","""Private equity stands to greatly diminish the quality of care in the US. Stakeholders such as nonprofits, medical professionals, or hospital groups, are very invested in the quality of care they delive"", "" I strongly oppose the continued involvement of PE groups in healthcare.""",NA,NA,"0","1","0",NA,"1","0",NA,"""PE reduce the medical care for patient, and the quality of provider""","""Private equity stands to greatly diminish the quality of care in theVery  US. Stakeholders such as nonprofits, medical professionals, or hospital groups, are very invested in the quality of care they deliver. """,79,"Medium",NA,NA
"58","FTC-2024-0022-1426","negative","1","""negative_word""","""The overall effect is the illusion of choice for patients in an area containing about one half of the state’s population."",""Patient care is not the priority and neither is the sanctity of an optometrists practice and professional judgment.""","attorney",NA,"0","1","0",NA,"1","1",NA,"""Patient care is not the priority and neither is the sanctity of an optometrists practice and professional judgment.  ""","""Patient care is not the priority and neither is the sanctity of an optometrists practice and professional judgment. "","" The overall effect is the illusion of choice for patients in an area containing about one half of the state’s population""",574,"Medium","KS","other"
"59","FTC-2024-0022-1428","very_negative","1","""negative_word,strong_word,high_frequency""","""There is no room in healthcare for profit motive.""",NA,NA,"1","1","0",NA,"1","1",NA,"""more billing underscores the higher patient cost, more procedure without good improvement treatment effect emphasize worse working stituation for provider.""","""More billing, more procedures, more ""RVUs"" for reimbursement with little evidence base or focus on outcomes. """,90,"High",NA,NA
